Date,Category,Value1,Value2,BooleanFlag
2023-01-01,C,240,47.43,False
2023-01-02,D,451,31.95,False
2023-01-03,A,267,36.27,False
2023-01-04,C,93,44.62,False
2023-01-05,C,211,33.1,False
2023-01-06,D,251,18.3,False
2023-01-07,A,495,9.75,True
2023-01-08,A,319,25.54,False
2023-01-09,C,400,14.83,True
2023-01-10,B,353,23.74,True
2023-01-11,C,320,44.75,False
2023-01-12,C,264,19.6,True
2023-01-13,C,301,10.49,False
2023-01-14,C,239,21.03,True
2023-01-15,D,345,45.81,False
2023-01-16,A,262,17.25,True
2023-01-17,D,257,34.15,False
2023-01-18,D,286,5.02,False
2023-01-19,D,387,20.87,False
2023-01-20,C,416,18.72,False
2023-01-21,B,102,12.41,False
2023-01-22,A,329,29.03,True
2023-01-23,B,459,26.82,True
2023-01-24,D,266,36.16,True
2023-01-25,D,301,17.12,False
2023-01-26,B,237,15.99,True
2023-01-27,B,429,12.57,False
2023-01-28,B,90,14.84,False
2023-01-29,D,206,30.11,True
2023-01-30,D,64,23.17,True
2023-01-31,A,350,7.92,False
2023-02-01,A,114,16.43,True
2023-02-02,D,394,16.11,False
2023-02-03,B,376,36.33,False
2023-02-04,B,58,37.05,False
2023-02-05,A,393,11.66,False
2023-02-06,D,178,49.9,False
2023-02-07,A,185,17.01,True
2023-02-08,A,112,48.95,True
2023-02-09,C,188,23.5,False
2023-02-10,C,130,6.49,False
2023-02-11,C,441,20.53,True
2023-02-12,B,212,33.55,True
2023-02-13,D,468,35.63,False
2023-02-14,D,338,28.89,True
2023-02-15,D,428,25.15,False
2023-02-16,D,310,29.88,True
2023-02-17,C,280,31.67,False
2023-02-18,B,90,8.64,True
2023-02-19,B,77,21.63,False
2023-02-20,C,184,15.9,True
2023-02-21,B,250,41.14,True
2023-02-22,C,377,26.16,False
2023-02-23,D,317,49.25,True
2023-02-24,C,467,22.95,False
2023-02-25,D,82,41.74,True
2023-02-26,D,97,40.93,False
2023-02-27,A,456,11.78,True
2023-02-28,C,111,27.87,False
2023-03-01,A,265,36.31,True
2023-03-02,C,342,43.63,False
2023-03-03,C,148,19.67,True
2023-03-04,A,221,14.91,False
2023-03-05,A,409,37.0,False
2023-03-06,C,263,41.43,False
2023-03-07,B,84,20.69,True
2023-03-08,D,498,9.33,False
2023-03-09,A,276,47.32,True
2023-03-10,D,150,22.89,False
2023-03-11,B,480,28.3,True
2023-03-12,B,180,42.7,False
2023-03-13,B,306,35.41,True
2023-03-14,A,54,38.08,True
2023-03-15,B,267,14.41,False
2023-03-16,A,304,29.37,True
2023-03-17,B,447,36.31,True
2023-03-18,D,408,15.28,False
2023-03-19,D,332,12.87,True
2023-03-20,C,442,49.2,True
2023-03-21,D,256,28.25,True
2023-03-22,C,64,16.74,False
2023-03-23,D,395,49.83,True
2023-03-24,A,91,48.44,False
2023-03-25,D,429,30.12,True
2023-03-26,C,228,44.72,True
2023-03-27,C,112,13.49,True
2023-03-28,B,401,17.55,False
2023-03-29,A,280,36.52,True
2023-03-30,D,290,43.1,True
2023-03-31,B,101,43.53,False
2023-04-01,D,145,23.2,True
2023-04-02,D,437,44.95,False
2023-04-03,B,271,43.29,False
2023-04-04,B,456,47.1,True
2023-04-05,B,280,40.34,False
2023-04-06,B,286,35.1,True
2023-04-07,B,192,31.13,False
2023-04-08,D,220,21.75,False
2023-04-09,B,78,47.31,True
2023-04-10,A,85,48.81,False
